dataset,sampling_policy,comparison,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,te_robust_loss_mean,te_robust_loss_std,te_cvar_loss_mean,te_cvar_loss_std,te_clean_loss_mean,te_clean_loss_std,val_robust_loss_mean,val_robust_loss_std,val_cvar_loss_mean,val_cvar_loss_std,val_clean_loss_mean,val_clean_loss_std,runtime_sec_mean,runtime_sec_std,stationarity_proxy_mean,stationarity_proxy_std,actual_update_count_mean,actual_update_count_std
breast,uniform_iid_nested,final_path,direct,0.25,8,0.005,0.001,,0.6354172834298828,0.19361701067376544,3.4821870667985606,0.6874917850330293,0.13333447969622664,0.03312191916855089,0.6302146254943024,0.22467158677402677,3.5028032286621773,1.0017804029029909,0.13518757887885952,0.033065845214715436,0.5175524234771729,0.04694676578290985,0.13422818382477836,0.06560481920737431,2400.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,8,0.001,0.003,1.01,0.5370055735315689,0.08102842735121298,2.268201037365759,0.3435847675923832,0.21909962131176033,0.022064303000565902,0.5251664133791666,0.11635016528464426,2.301737761785261,0.5312898690427409,0.21883598327841822,0.02495918564470632,1.6101252079010009,0.08478060672125352,0.2601499224683991,0.04414131152072949,2400.0,0.0
breast,clean,erm_clean_path,erm,0.25,16,0.015,0.0,,0.9409142272928601,0.1156642779665169,6.347870225117678,0.6726943560238309,0.08250207299257324,0.0428662261861147,0.9080355549283006,0.11429732121521823,6.47381082526154,0.6952214753402194,0.08606616605274706,0.04210242705745165,0.6028282642364502,0.027244622057791847,0.018682779826449662,0.001692843345776381,3000.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,16,0.005,0.001,,0.5436770477648153,0.134344942897861,3.1989843937226583,0.5625094127589773,0.13149435500567191,0.03247045360109348,0.5321609671781388,0.16630824131503158,3.209964190309768,0.872019450509659,0.13207471838647825,0.029101645754171915,0.9798932552337647,0.037997255383988765,0.16526294135798575,0.09265552865025085,3000.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,16,0.001,0.003,1.05,0.5127609094866623,0.06756254497411235,2.2183600901415566,0.29586398934581676,0.21443233783637852,0.021738083338777185,0.5001664387818033,0.10312216361093421,2.255009270855287,0.499663231396198,0.2145519052075932,0.023817411215324984,3.1965942859649656,0.22467441981642955,0.3019582566198162,0.05267234020711396,3000.0,0.0
breast,clean,erm_clean_path,erm,0.25,64,0.015,0.0,,0.9752231882080791,0.12470739999845343,6.599759638088885,0.7216665733044166,0.08123150415651323,0.04500513513431161,0.941201488689383,0.12321874547613777,6.74913496474539,0.7491873529339277,0.08490283007523626,0.043975017919693396,0.7160664558410644,0.024359398489629824,0.01640702778693748,0.0015017928732445015,3600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,64,0.005,0.001,,0.4969366606615834,0.11652522659937024,3.088970332206589,0.5447032996063838,0.13214724625027535,0.03507855789933215,0.4988062044315901,0.1393630945973812,3.109307178899534,0.7727867427748117,0.1328139301918932,0.02863932763801871,3.84360089302063,0.2826147566127768,0.256805711006278,0.060540949554971496,3600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,64,0.004,0.003,1.01,0.4739452989074113,0.08011878577786691,2.1748222915031787,0.35283274735245584,0.20802758650919478,0.023382856970680127,0.4631130037400465,0.11510625641904645,2.2081798794913157,0.5323706865625498,0.20865665943225772,0.024684159505281727,13.396925020217896,1.0879587996125786,0.2745317231120016,0.03909868076566352,3600.0,0.0
breast,clean,erm_clean_path,erm,0.25,256,0.015,0.0,,1.0040733200308343,0.1337867294144183,6.812946147914521,0.7696676544422442,0.08040055112837166,0.046936620942792155,0.968968959510784,0.1314066010836288,6.984500111534179,0.8045450453691564,0.08413050568918841,0.0457401824054948,0.8315344333648682,0.02186043220839378,0.01472146644224038,0.0013419195459094904,4200.0,0.0
breast,uniform_iid_nested,final_path,direct,0.25,256,0.005,0.001,,0.407048277700674,0.06945478214275523,2.6903726101535157,0.4261841708030774,0.13178697430959926,0.03325569010584685,0.4080646399865765,0.1040247621272651,2.6944435865663436,0.6017760097876867,0.13184542680717154,0.026016670624905435,15.443964338302612,1.0828147576580582,0.40670209904686416,0.1410520690967928,4200.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.25,256,0.004,0.003,1.01,0.3964727095864345,0.03073618907405326,1.903728560915368,0.20054892660148674,0.2063676245034992,0.024559649727861326,0.38780655390681823,0.06200229329717257,1.903706744904423,0.2819865342494237,0.20629202628540777,0.022516914211474476,58.217317295074466,3.1159917564106316,0.44932901893679167,0.1662455250629368,4200.0,0.0
breast,clean,erm_clean_path,erm,0.35,1,0.015,0.0,,1.2404653315567884,0.12192569122361951,5.953867803871502,0.45762817113346893,0.10944386632848076,0.030385782823745478,1.2208808900144574,0.09889931343393539,5.961195089810731,0.45362232543699316,0.11086848335688626,0.03298758922703498,0.11837677955627438,0.007065247110623335,0.0627597843433024,0.0030031824370620416,600.0,0.0
breast,uniform_iid_nested,final_path,direct,0.35,1,0.005,0.001,,0.9587405212273155,0.18872950777711184,3.9059342106690904,0.41077555719398534,0.1824927879769725,0.028598649673984195,0.9420997967953291,0.23036276195154504,3.876710927805463,0.4720168634979906,0.18059578316594554,0.024015554436852236,0.1482735157012939,0.012229341128908543,0.14119972723652735,0.012022963071506562,600.0,0.0
breast,uniform_iid_nested,final_path,majorant,0.35,1,0.001,0.003,1.01,0.6617587045770135,0.06525876942824224,2.081059946398901,0.1889089180854556,0.3174190727623901,0.024302670470904283,0.656008118439108,0.09148645540062336,2.1087738460935537,0.33165790109987237,0.31802042742841224,0.01456892775435608,0.30145006179809564,0.01430545747406004,0.4343766512507,0.01965760150272306,600.0,0.0
