comparison,dataset,sampling_policy,model,split_seed,epsilon,N,stage_index,alpha0,lambda_l1,lmaj_factor,Lmaj,eps_tol_k,mu_k,stepsize,inner_steps_per_stage,actual_update_count,train_objective,stationarity_proxy,runtime_sec,x_box,m_groups,group_names,bank_seed,bank_hash,init_w_norm,init_b,failed,source_config_N,warm_start_from_N,checkpoint_path,tr_sampled_robust_loss,tr_sampled_mean_loss,tr_robust_loss,tr_cvar_loss,tr_clean_loss,val_robust_loss,val_cvar_loss,val_clean_loss,te_robust_loss,te_cvar_loss,te_clean_loss
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.25,2,1,0.003,0.001,,,0.09000000000000001,0.06492127684000336,0.0027,500,1000,0.4586319655727908,0.2033772999835827,0.14302992820739746,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,a56d92024393737b,0.0,0.0,False,2,,,0.4179608020369065,0.41079037370110627,0.6510899232725526,1.3809334639448414,0.43922832397773737,0.909887035697888,1.479231184192468,0.671158456649276,0.5488318297644671,1.1914787844426245,0.37669172404172796
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,4,2,0.003,0.001,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.4447203465315213,0.19425897992155058,0.2098219394683838,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,de016f2c9e53d33b,0.0,0.0,False,4,,,0.421467103014138,0.3920495059762347,0.6965487049859573,2.03298902133383,0.4146023095935236,0.700414169938767,1.752697880361548,0.4311476413871492,0.6080593817520432,2.303755615345481,0.39736362444751255
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.25,4,2,0.003,0.001,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.4845411993978593,0.20985328874292847,0.20369195938110352,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,7c9c0c141cce6fb1,0.0,0.0,False,4,,,0.4459168112625989,0.44100526728581346,0.7508365895732957,2.058638769820107,0.4664824817563458,0.9333276335165227,2.6783876846605406,0.5999801653107144,1.0337565110697002,2.4198416371246934,0.6200853145831138
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.25,4,2,0.003,0.001,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.42603526331179625,0.20641293748555128,0.20387697219848633,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,6db226ef43ffce8e,0.0,0.0,False,4,,,0.4066445732736068,0.36905910894454463,0.7968268626962918,2.141289247500624,0.41751197567961534,0.8011895334493142,2.053706765280219,0.4845506685081391,0.8955121759818021,2.1066407887726872,0.532167068936848
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.25,4,2,0.003,0.001,,,0.08100000000000002,0.029214574578001515,0.0012150000000000002,500,1500,0.4580515380368024,0.19396891899586344,0.20948100090026855,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,727f5e7d307541d3,0.0,0.0,False,4,,,0.4240592469630019,0.4103540973812104,0.6069599249471321,1.5897041913401244,0.42115971628414234,0.9772873038930034,1.7657718192594318,0.644477916704042,0.5039551191234222,1.3603150384805622,0.36602874125761303
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,8,3,0.003,0.001,,,0.0729,0.017528744746800908,0.000729,500,2000,0.48082737755879845,0.31200501739156505,0.33498287200927734,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,2e5f5fd4d4b9581a,0.0,0.0,False,8,,,0.46871026561187884,0.40024829027955844,0.6161362863922263,1.5052599204310801,0.39847147363570196,0.6785949745820155,1.5013705734152518,0.4641630932314302,0.5776209477340111,1.4770542747805915,0.4041276929478881
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.25,8,3,0.003,0.001,,,0.0729,0.017528744746800908,0.000729,500,2000,0.48030794143944,0.1916114336569312,0.32360291481018066,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,cf5130be7adf62fe,0.0,0.0,False,8,,,0.46196217468379414,0.42812603808998373,0.719646913699316,2.056274064771914,0.45277392651179416,0.9353698712763818,2.6191261940363697,0.5598194526281498,0.9677007963848111,2.4342275006749623,0.5829500828395532
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.25,8,3,0.003,0.001,,,0.0729,0.017528744746800908,0.000729,500,2000,0.4657469172834494,0.3417604910204791,0.32340192794799805,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,949c5a75411ee148,0.0,0.0,False,8,,,0.4583881142762697,0.38298686649724223,0.6809750947415406,1.7247433125113458,0.3913904505174215,0.7030940309815434,1.8289599412135935,0.46026176424493603,0.7786889970151837,1.6805828126127575,0.5232140217333663
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.25,8,3,0.003,0.001,,,0.0729,0.017528744746800908,0.000729,500,2000,0.45153847910383027,0.18903926205636376,0.3335871696472168,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,ccd0f8218d928b66,0.0,0.0,False,8,,,0.4285946621245736,0.4053646051426048,0.5599129543334486,1.4740124734068913,0.40429226603092283,0.8830725535667565,1.644687552493667,0.6216516548855826,0.469880265781308,1.2823819149132212,0.3501772304588008
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,16,4,0.003,0.001,,,0.06561,0.011831902704090612,0.000492075,500,2500,0.47179277966394506,0.2951300988602976,0.5644121170043945,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,674a6542e1f86db4,0.0,0.0,False,16,,,0.459539936407997,0.40505620253404007,0.5180187458452161,1.4219029009513342,0.3940580814867592,0.6102911882754332,1.4031679117145373,0.46847992877390815,0.4958027194706496,1.4572352198380487,0.4004083309064858
final_path,parkinsons,uniform_iid_nested,direct,20000518,0.25,16,4,0.003,0.001,,,0.06561,0.011831902704090612,0.000492075,500,2500,0.48274440358935106,0.24795190348808607,0.5659797191619873,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001295.0,1ac60e372c50abdd,0.0,0.0,False,16,,,0.47130707340968336,0.4224567711429356,0.665819178795704,1.7443803970850185,0.440539150002386,0.8219648586800662,2.3394773527543737,0.5508163160792447,0.8969264367188843,2.1774338832528897,0.5652982889955757
final_path,parkinsons,uniform_iid_nested,direct,20000617,0.25,16,4,0.003,0.001,,,0.06561,0.011831902704090612,0.000492075,500,2500,0.4446469919382793,0.2783302868403894,0.5668690204620361,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001394.0,1e532172506aedda,0.0,0.0,False,16,,,0.4356343128642634,0.3710485283382679,0.6141510918187737,1.541227701249258,0.3805113902037911,0.6445776555659585,1.7161881688430425,0.45140291183529496,0.7138079154771212,1.4840638222829852,0.5204516309097476
final_path,parkinsons,uniform_iid_nested,direct,20000618,0.25,16,4,0.003,0.001,,,0.06561,0.011831902704090612,0.000492075,500,2500,0.46764249539341524,0.25610569956945645,0.5871801376342773,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001395.0,826a1b03c72605c9,0.0,0.0,False,16,,,0.4560365829974266,0.41042993448433496,0.5220188907640062,1.423185072229501,0.39586942962868354,0.8468675192459957,1.589879338888939,0.6081773512163999,0.44350846142185335,1.2584681704416911,0.34611055798435353
final_path,parkinsons,uniform_iid_nested,direct,20000517,0.25,64,5,0.003,0.001,,,0.05904900000000001,0.007099141622454369,0.0002952450000000001,500,3000,0.458343288866237,0.2669922121469959,2.019702672958374,1.0,5,"frequency,jitter,shimmer,noise_tone,nonlinear",20001294.0,444218bea1b6ab58,0.0,0.0,False,64,16.0,in_memory_N16_state,0.4474276138641897,0.3986861276689666,0.4926651512122871,1.3933675061059583,0.39045088527747596,0.6047623891996767,1.3916727593381402,0.46858577715078287,0.47574411378485765,1.426003914380042,0.3985749801538967
